"metadataMap.Author.keyword: Descending",Count
"Mörike, Eduard",2
"Müller, August Friedrich",2
"Müller, Friedrich Max",2
"Müller, Johann",2
"Müller, Melchior",2
"Müller, Philipp",2
"Müller, Wilhelm Max",2
"Müller-Guttenbrunn, Adam",2
"Münsterberg, Hugo",2
"Nahlowsky, Josef Wilhelm",2
"Neger, Franz Wilhelm",2
"Netto, Eugen",2
"Neubecker, Friedrich Karl",2
"Neuberg, Johannes",2
"Niebuhr, Carl",2
"Nielsen, Niels",2
"Niendorff, Oskar",2
"Nietzsche, Friedrich",2
"Ninck, Johannes",2
"Noorden, Carl von",2
"Nussbaum, Hans Christian",2
"Németh, Gyula",2
"Nötzel, Karl",2
"Oettingen, Alexander von",2
"Oettingen, Arthur J. von",2
"Opitz, Friedrich Wilhelm",2
"Osiander, Andreas",2
"Otto, Christian Traugott",2
"Ovidius Naso, Publius [PNDNR:108992982X] [GNDNR:118590995]",2
"Pamler, Caspar",2
"Pareus, David",2
"Pastor, Willy",2
"Paufler, Adolf Moritz",2
"Petersdorff, Herman von",2
"Petronius, Arbiter",2
"Petzoldt, Joseph",2
"Pfordten, Otto von der",2
"Pfänder, Alexander",2
"Pilf, Traugott",2
"Pilz, Karl",2
"Piper, Otto",2
"Pisander [GNDNR:1058620142]",2
"Pistorius, Elias [PNDNR:124995721] [GNDNR:124995721]",2
"Plautus, Titus Maccius",2
"Plitt, Gustav Leopold",2
"Pockels, Friedrich",2
"Podestà, Giovanni Battista",2
"Poincaré, Henri",2
"Poincaré, Lucien",2
"Pott, August",2
"Preyer, William T.",2
"Probst, Hans",2
"Procksch, Otto",2
"Pusch, Lucian",2
"Pöschl, Viktor",2
"Pütz, Hermann",2
"Rabe, Gottfried",2
"Radestock, Karl Gottfried",2
"Ratzenhofer, Gustav",2
"Rauber, August",2
"Rauecker, Bruno",2
"Rauter, Gustav",2
"Regener, Friedrich",2
"Rehmke, Johannes",2
"Reich, Jacob",2
"Rein, Wilhelm",2
"Reinboth, Johann",2
"Reinhart, Elias Sigismund",2
"Reis, Paul",2
"Rellstab, Ludwig",2
"Rendtorff, Franz",2
"Reneccius, Jacob",2
"Rheinhard, W.",2
"Richter, Otto",2
"Riecke, Eduard",2
"Riemer, Valentin",2
"Riepenhausen, Karl Wilhelm von",2
"Ries, Adam",2
"Rietschel, Georg",2
"Rintelen, Anton",2
"Rippert, Paul",2
"Rittershaus, Emil",2
"Rohrscheidt, Kurt von",2
"Rolffs, Ernst",2
"Roloff, Matthias [PNDNR:12964580X] [GNDNR:12964580X]",2
"Roscher, Wilhelm",2
"Rotenhan, Julius von",2
"Roth, Karl",2
"Roth, Wilhelm",2
"Rousseau, Jean-Jacques",2
"Roux, Wilhelm",2
"Rudolph, Heinrich",2
"Ruge, Arnold",2
"Runge, Carl",2
"Rée, Paul",2
"Réthi, Leopold",2
"Réville, Jean",2
"Röser, Jacob",2
"Rössel, Paul",2
"Rössler, Richard",2
"Rößlin, Eucharius",2
"Rühle, August Hermann",2
"Rülich, Bartholomaeus",2
"Rümelin, Gustav",2
"Sachs, Hans",2
"Sachsse, Robert",2
"Sack, Siegfried",2
"Sartorius, Johannes",2
"Sauer, August",2
"Scheffers, Georg Wilhelm",2
"Schiebel, Daniel",2
"Schiller, Elias",2
"Schmeidler, Bernhard",2
"Schmidlin, Adam Ulrich",2
"Schmidt, Arthur Benno",2
"Schmidt, Max C. P.",2
"Schmidt-Mülheim, Adolf",2
"Schmidtke, Alfred",2
"Schmiedeberg, Oswald",2
"Schmitt, Eugen Heinrich",2
"Schmitz, Otto",2
